Fips_Code,County,Day1,Day2,Day3,Day4,Day5,Day6,perc1,perc2,perc3,perc4,perc5,perc6,tot
24001,Allegany,31,40,37,22,46,59,13.191489361702127,17.02127659574468,15.74468085106383,9.361702127659575,19.574468085106382,25.106382978723403,235
24003,Anne Arundel,486,619,619,654,742,948,11.946902654867257,15.216322517207473,15.216322517207473,16.07669616519174,18.23992133726647,23.303834808259587,4068
24510,Baltimore City,188,223,213,249,336,399,11.691542288557214,13.868159203980099,13.246268656716417,15.485074626865671,20.8955223880597,24.813432835820894,1608
24005,Baltimore County,534,697,752,806,946,1118,11.003502987842571,14.362250154543583,15.495569750669688,16.608283535957142,19.49309705336905,23.03729651761797,4853
24009,Calvert,146,187,174,147,191,184,14.188532555879494,18.172983479105927,16.909620991253643,14.285714285714285,18.56171039844509,17.881438289601554,1029
24011,Caroline,27,38,31,24,41,38,13.5678391959799,19.09547738693467,15.577889447236181,12.060301507537687,20.603015075376884,19.09547738693467,199
24013,Carroll,184,245,227,253,253,312,12.48303934871099,16.621438263229308,15.400271370420624,17.16417910447761,17.16417910447761,21.166892808683855,1474
24015,Cecil,91,107,103,105,141,171,12.674094707520892,14.902506963788301,14.345403899721449,14.623955431754876,19.637883008356546,23.81615598885794,718
24017,Charles,188,291,271,229,333,321,11.512553582363747,17.819963257807718,16.595223515003063,14.023270055113288,20.39191671769749,19.657072872014698,1633
24019,Dorchester,17,24,17,37,14,28,12.408759124087592,17.51824817518248,12.408759124087592,27.00729927007299,10.218978102189782,20.437956204379564,137
24021,Frederick,249,342,380,394,409,402,11.443014705882353,15.716911764705882,17.463235294117645,18.106617647058822,18.795955882352942,18.474264705882355,2176
24023,Garrett,42,29,27,19,41,39,21.31979695431472,14.720812182741117,13.705583756345177,9.644670050761421,20.812182741116754,19.796954314720814,197
24025,Harford,263,358,337,308,389,490,12.261072261072261,16.68997668997669,15.710955710955709,14.358974358974358,18.135198135198134,22.843822843822846,2145
24027,Howard,372,480,581,552,378,479,13.089373680506686,16.889514426460238,20.44334975369458,19.422941590429275,13.30049261083744,16.85432793807178,2842
24029,Kent,16,22,19,3,16,28,15.384615384615385,21.153846153846153,18.269230769230766,2.8846153846153846,15.384615384615385,26.923076923076923,104
24031,Montgomery,705,1068,1251,1192,1130,1311,10.590356016223526,16.043262730959892,18.79224876070302,17.90596364728857,16.97461318912423,19.693555655700766,6657
24033,Prince George's,549,996,920,937,1221,1337,9.211409395973154,16.711409395973153,15.436241610738255,15.721476510067115,20.486577181208055,22.43288590604027,5960
24035,Queen Anne's,69,82,57,64,93,123,14.139344262295081,16.80327868852459,11.68032786885246,13.114754098360656,19.057377049180328,25.204918032786882,488
24037,Saint Mary's,178,195,182,167,228,239,14.970563498738434,16.400336417157273,15.306980656013458,14.045416316232128,19.1757779646762,20.100925147182505,1189
24039,Somerset,17,19,5,22,25,30,14.40677966101695,16.101694915254235,4.23728813559322,18.64406779661017,21.1864406779661,25.423728813559322,118
24041,Talbot,54,36,37,47,50,53,19.494584837545126,12.996389891696749,13.357400722021662,16.967509025270758,18.050541516245488,19.133574007220215,277
24043,Washington,106,164,193,167,191,247,9.925093632958802,15.355805243445692,18.071161048689138,15.636704119850187,17.883895131086142,23.127340823970037,1068
24045,Wicomico,77,109,83,64,111,133,13.344887348353554,18.890814558058924,14.384748700173311,11.091854419410744,19.23743500866551,23.050259965337954,577
24047,Worcester,37,38,46,33,47,50,14.741035856573706,15.139442231075698,18.326693227091635,13.147410358565736,18.725099601593627,19.9203187250996,251
